blockID,biomeID
1,8
1,59
2,35
2,8
2,59
3,9
3,22
3,21
3,40
3,54
3,60
3,64
4,9
4,21
4,22
4,40
4,60
5,1
5,2
5,4
5,5
5,6
5,9
5,15
5,16
5,21
5,22
5,26
5,28
5,29
5,32
5,33
5,31
5,34
5,37
5,38
5,39
5,40
5,42
5,43
5,47
5,50
5,51
5,52
5,53
5,54
5,55
6,32
6,54
7,1
7,20
7,64
8,27
9,2
9,38
9,39
10,16
11,26
11,47
12,10
12,12
12,13
12,14
13,9
13,34
14,1
14,20
14,64
15,1
15,20
15,64
17,11
18,31
19,4
19,15
19,41
20,11
21,11
22,11
23,11
24,11
25,8
25,59
27,26
27,45
27,46
27,47
27,48
28,49
29,49
29,35
30,49
32,10
32,12
32,13
32,14
33,26
33,38
33,39
33,48
33,55
34,26
34,38
34,39
34,48
34,55
36,7
36,10
37,15
38,1
38,20
38,64
39,58
41,59
42,59
43,59
45,1
45,20
45,64
46,1
46,20
46,64
47,42
47,43
47,63
48,42
48,43
48,63
51,35
53,31
54,3
56,33
56,6
56,40
56,53
56,32
56,21
56,22
56,5
56,37
57,15
57,22
57,40
57,42
57,46
57,48
57,55
58,5
58,22
58,40
58,37
59,5
59,22
59,40
59,37
60,3
61,23
61,48
62,15
62,54
62,49
63,58
64,9
64,34
65,1
65,20
65,64
66,58
69,6
70,6
71,18
72,31
72,54
72,4
72,36
72,41
74,63
74,64
74,38
74,39
75,11
79,8
80,8
81,1
81,4
81,15
81,22
81,33
81,40
81,42
81,51
82,9
83,9
84,58
85,58
86,58
87,58
88,58
89,11
90,11
91,11
92,11
93,11
94,11
95,11
96,11
97,11
98,11
103,17
103,18
103,19
103,44
104,16
110,58
111,54
111,32
113,8
113,35
113,49
113,59
114,35
119,58
120,12
120,23
120,24
120,25
120,27
120,45
120,46
120,47
120,48
122,29
122,2
122,50
123,2
123,29
123,50
127,1
127,20
127,64
128,7
128,10
128,12
128,13
128,14
128,23
128,30
128,36
128,58
128,3
128,35
128,49
128,59
128,8
129,32
130,32
132,31
133,32
134,32
135,9
135,34
136,9
136,34
137,34
16,1
16,2
16,4
16,5
16,6
16,7
16,9
16,10
16,11
16,12
16,13
16,14
16,15
16,16
16,20
16,21
16,22
16,23
16,24
16,25
16,26
16,27
16,28
16,29
16,30
16,31
16,32
16,33
16,34
16,36
16,37
16,38
16,39
16,40
16,41
16,42
16,43
16,45
16,46
16,47
16,48
16,50
16,51
16,52
16,53
16,54
16,55
16,58
16,60
16,61
16,62
16,63
16,64
26,1
26,2
26,4
26,5
26,6
26,7
26,9
26,10
26,11
26,12
26,13
26,14
26,15
26,16
26,20
26,21
26,22
26,23
26,24
26,25
26,26
26,27
26,28
26,29
26,30
26,31
26,32
26,33
26,34
26,36
26,37
26,38
26,39
26,40
26,41
26,42
26,43
26,45
26,46
26,47
26,48
26,50
26,51
26,52
26,53
26,54
26,55
26,58
26,60
26,61
26,62
26,63
26,64
31,1
31,2
31,4
31,5
31,6
31,7
31,9
31,10
31,11
31,12
31,13
31,14
31,15
31,16
31,20
31,21
31,22
31,23
31,24
31,25
31,26
31,27
31,28
31,29
31,30
31,31
31,32
31,33
31,34
31,36
31,37
31,38
31,39
31,40
31,41
31,42
31,43
31,45
31,46
31,47
31,48
31,50
31,51
31,52
31,53
31,54
31,55
31,58
31,60
31,61
31,62
31,63
31,64
35,1
35,2
35,4
35,5
35,6
35,7
35,9
35,10
35,11
35,12
35,13
35,14
35,15
35,16
35,20
35,21
35,22
35,23
35,24
35,25
35,26
35,27
35,28
35,29
35,30
35,31
35,32
35,33
35,34
35,36
35,37
35,38
35,39
35,40
35,41
35,42
35,43
35,45
35,46
35,47
35,48
35,50
35,51
35,52
35,53
35,54
35,55
35,58
35,60
35,61
35,62
35,63
35,64
40,1
40,2
40,4
40,5
40,6
40,7
40,9
40,10
40,11
40,12
40,13
40,14
40,15
40,16
40,20
40,21
40,22
40,23
40,24
40,25
40,26
40,27
40,28
40,29
40,30
40,31
40,32
40,33
40,34
40,36
40,37
40,38
40,39
